Planet_Alpine Alpine
Planet_Alpine_desc desc
Planet_Arid Arid
Planet_Arid_desc desc
Planet_Artic Artic
Planet_Artic_desc desc
Planet_Barren Barren
Planet_Barren_desc desc
Planet_Continental Continental
Planet_Continental_desc desc
Planet_Desert Desert
Planet_Desert_desc desc
Planet_Frozen Frozen
Planet_Frozen_desc desc
Planet_Gaia Gaia
Planet_Gaia_desc desc
Planet_GasGiant Gas Giant
Planet_GasGiant_desc desc
Planet_Molten Molten
Planet_Molten_desc desc
Planet_Ocean Ocean
Planet_Ocean_desc desc
Planet_Radiated Radiated
Planet_Radiated_desc desc
Planet_Savanna Savanna
Planet_Savanna_desc desc
Planet_Swamp Swamp
Planet_Swamp_desc desc
Planet_Toxic Toxic
Planet_Toxic_desc desc
Planet_Tropical Tropical
Planet_Tropical_desc desc
Planet_Tundra Tundra
Planet_Tundra_desc desc
Planet_Volcanic Volcanic
Planet_Volcanic_desc desc
